"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","CPIFORECAST","TOT","AGRWTH","Q","1999-Q4",1.11950825049468,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2000-Q1",1.58079607757909,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2000-Q2",1.05035590819622,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2000-Q3",1.30055507669126,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2000-Q4",1.72039187057108,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2001-Q1",1.58305893669625,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2001-Q2",2.49812499892225,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2001-Q3",2.05454975764262,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2001-Q4",1.47079373745074,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2002-Q1",1.87192413230747,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2002-Q2",1.15860408624704,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2002-Q3",1.13313347920573,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2002-Q4",1.14647574839659,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2003-Q1",1.20069157015049,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2003-Q2",0.869823892728841,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2003-Q3",1.02237384098009,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2003-Q4",1.20138743458458,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2004-Q1",1.04540758586522,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2004-Q2",1.95391974312859,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2004-Q3",2.01420854132698,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2004-Q4",2.10686104584577,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2005-Q1",1.80058714596784,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2005-Q2",1.56015280698465,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2005-Q3",2.1319541589462,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2005-Q4",2.21624728175984,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2006-Q1",2.08370327059102,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2006-Q2",2.15521129243902,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2006-Q3",1.58336551164086,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2006-Q4",1.28712662399013,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2007-Q1",1.86688820566898,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2007-Q2",1.98519148944176,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2007-Q3",2.21518606695462,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2007-Q4",3.00924823961808,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2008-Q1",3.05721410824192,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2008-Q2",3.03995147053814,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2008-Q3",3.23466358117938,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2008-Q4",1.70195708043122,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2009-Q1",0.785180156107563,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2009-Q2",0.182616256136471,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2009-Q3",-0.339760997683656,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2009-Q4",0.364209613807018,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2010-Q1",0.737155409446757,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2010-Q2",1.04258950347162,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2010-Q3",1.13502410941009,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2010-Q4",1.55764324082053,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2011-Q1",2.19768729195927,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2011-Q2",2.55891232219494,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2011-Q3",2.59795250884836,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2011-Q4",2.57302564117234,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2012-Q1",2.44005084748468,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2012-Q2",2.10641205014057,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2012-Q3",2.07940100711589,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2012-Q4",2.01397803823588,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2013-Q1",1.9241158507146,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2013-Q2",1.56176938419137,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2013-Q3",1.58504937253548,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2013-Q4",1.35872008170448,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2014-Q1",1.08399656995354,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2014-Q2",0.906500201746308,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2014-Q3",0.655133980012097,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2014-Q4",0.434958778328739,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2015-Q1",0.0160406067909684,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2015-Q2",1.21101119958786,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2015-Q3",0.95012330013431,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2015-Q4",0.542522483193133,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2016-Q1",0.269965026977216,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2016-Q2",-0.157490875562809,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2016-Q3",0.307825163651648,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2016-Q4",1.04819540630463,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2017-Q1",1.87319587676124,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2017-Q2",1.57633548162867,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2017-Q3",1.78252297830151,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2017-Q4",1.5786171063793,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2018-Q1",1.47393968765964,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2018-Q2",1.83908435349335,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2018-Q3",2.22669898803117,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2018-Q4",2.19529140969817,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2019-Q1",1.52486637346949,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","1999-Q4",1.58439202960947,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2000-Q1",2.02156766180051,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2000-Q2",1.91753078055207,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2000-Q3",2.29115940904377,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2000-Q4",2.51829082721885,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2001-Q1",2.17634160283512,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2001-Q2",2.90032558006672,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2001-Q3",2.43944693354479,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2001-Q4",2.11243957089747,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2002-Q1",2.56266541870569,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2002-Q2",2.09022812892587,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2002-Q3",2.13837931716666,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2002-Q4",2.26441214266538,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2003-Q1",2.36147569549539,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2003-Q2",1.94977729000846,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2003-Q3",2.05490207108527,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2003-Q4",2.06507701972249,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2004-Q1",1.7861462170854,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2004-Q2",2.32157161559219,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2004-Q3",2.28790439521977,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2004-Q4",2.31179419988033,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2005-Q1",2.14289685018805,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2005-Q2",1.98698512191411,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2005-Q3",2.30022801606396,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2005-Q4",2.3244972241356,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2006-Q1",2.37693638538964,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2006-Q2",2.46597962590237,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2006-Q3",2.18197997579077,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2006-Q4",1.79673046666702,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2007-Q1",1.91133043370572,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2007-Q2",1.88334068470687,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2007-Q3",1.92248827278116,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2007-Q4",2.91993770743042,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2008-Q1",3.41945043152836,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2008-Q2",3.67213490988651,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2008-Q3",3.91432043974455,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2008-Q4",2.32975330742922,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2009-Q1",1.01409876098904,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2009-Q2",0.1670255345819,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2009-Q3",-0.324942529822299,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2009-Q4",0.408099415390055,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2010-Q1",1.08533059352418,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2010-Q2",1.57998980603445,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2010-Q3",1.73405962509978,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2010-Q4",2.00568218527143,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2011-Q1",2.5034499590916,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2011-Q2",2.77448725975989,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2011-Q3",2.72335486980822,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2011-Q4",2.91451729925553,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2012-Q1",2.67965014013061,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2012-Q2",2.46438893458658,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2012-Q3",2.52451390637354,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2012-Q4",2.27958513752394,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2013-Q1",1.90457383585793,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2013-Q2",1.41730859184934,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2013-Q3",1.28077587630107,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2013-Q4",0.78420075441617,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2014-Q1",0.683112076614349,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2014-Q2",0.563969845002207,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2014-Q3",0.286067477659491,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2014-Q4",0.161038310842682,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2015-Q1",-0.277760761613284,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2015-Q2",0.419175540756999,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2015-Q3",0.339903667683065,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2015-Q4",0.260298518586838,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2016-Q1",0.103388755957318,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2016-Q2",-0.122678935301266,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2016-Q3",0.232493247352742,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2016-Q4",0.754141294230394,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2017-Q1",1.74908531181321,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2017-Q2",1.50831527856903,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2017-Q3",1.47156695224608,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2017-Q4",1.4259264475463,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2018-Q1",1.27395086004432,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2018-Q2",1.70562540626708,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2018-Q3",2.12229843665045,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2018-Q4",1.95486193605623,
"EA17","CPIFORECAST","TOT","AGRWTH","Q","2019-Q1",1.38373412975164,
